Número de items: 10000
Limite de peso: 1765326

ITEM                 PESO      VALOR
X6217                 507        356
X9395                 507        348
X2476                 507        314
X1921                 507        232
X6292                 506        390
X5477                 506        385
X589                  506        380
X4498                 506        330
X675                  506        318
X8057                 506        249
X1362                 506        242
X3090                 505        308
X1302                 505        274
X9415                 505        267
X5786                 505        245
X8479                 505        225
X5910                 505        208
X2691                 504        376
X3565                 504        362
X1737                 504        354
X601                  504        339
X500                  504        270
X2672                 504        205
X5327                 503        389
X1434                 503        379
X6934                 503        206
X4253                 502        375
X6783                 502        333
X5397                 502        331
X9221                 502        324
X806                  502        309
X9421                 502        289
X3615                 502        269
X821                  502        201
X3598                 501        386
X4915                 501        259
X8945                 501        221
X8938                 501        220
X2060                 500        371
X6617                 500        352
X7403                 500        279
X7645                 499        399
X384                  499        387
X2505                 499        334
X9197                 499        331
X8052                 499        325
X225                  499        254
X9667                 498        387
X3853                 498        275
X4491                 498        213
X9695                 498        207
X8471                 497        307
X2872                 497        269
X6798                 497        242
X4372                 497        240
X1133                 497        223
X6123                 496        326
X4388                 496        287
X6131                 496        253
X4865                 496        218
X7256                 495        392
X7876                 495        333
X4433                 495        300
X5876                 495        279
X922                  495        213
X7689                 495        201
X9740                 494        373
X4341                 494        198
X8877                 493        397
X734                  493        378
X3815                 493        376
X6531                 493        302
X7451                 493        298
X6999                 493        235
X2575                 493        213
X7003                 492        390
X5827                 492        378
X1769                 492        310
X3042                 492        258
X7633                 492        247
X3165                 491        386
X3362                 491        378
X6048                 491        348
X6623                 491        316
X1792                 491        276
X4718                 490        367
X720                  490        272
X6499                 490        271
X5513                 490        239
X5856                 490        226
X3926                 490        221
X3653                 490        203
X9060                 489        387
X3751                 489        370
X8049                 489        366
X7152                 489        225
X539                  489        220
X7588                 488        332
X1282                 488        240
X7745                 488        231
X9019                 487        345
X8000                 487        318
X7348                 487        240
X6002                 487        238
X3781                 487        199
X6561                 486        399
X6380                 486        290
X516                  486        214
X8097                 486        212
X1144                 486        210
X8622                 485        399
X137                  485        398
X8484                 485        338
X5131                 485        311
X1834                 485        255
X1079                 485        253
X6475                 485        196
X6675                 484        399
X2971                 484        392
X3451                 484        338
X4291                 484        326
X9683                 484        324
X5626                 484        321
X2439                 484        269
X4512                 484        235
X2075                 484        196
X4702                 483        375
X2523                 483        350
X4057                 483        313
X9122                 483        299
X9388                 483        269
X3087                 483        204
X6032                 482        325
X3619                 482        318
X3551                 482        233
X3924                 481        393
X2864                 481        382
X7907                 481        366
X4996                 481        334
X5209                 481        322
X3104                 481        295
X2818                 481        201
X3516                 480        387
X8340                 480        379
X2146                 480        371
X4446                 480        257
X7424                 480        196
X4972                 479        378
X3089                 479        345
X9903                 479        318
X1848                 479        282
X9427                 479        266
X7197                 479        210
X5076                 478        339
X8770                 478        327
X984                  477        340
X1072                 477        311
X4951                 477        303
X9656                 477        293
X2785                 477        280
X6312                 477        277
X9754                 477        271
X4173                 477        215
X5451                 477        209
X1252                 477        207
X4884                 477        204
X8554                 476        346
X3132                 476        304
X8512                 476        295
X7938                 475        334
X4455                 475        327
X8615                 475        276
X2450                 474        378
X9796                 474        293
X8125                 474        286
X8131                 474        227
X763                  473        388
X9672                 473        380
X4418                 473        371
X2955                 473        331
X8798                 473        238
X3680                 473        206
X4572                 472        331
X6082                 472        313
X6538                 472        312
X4500                 472        274
X4901                 472        263
X6703                 472        258
X6440                 472        223
X4015                 471        399
X1052                 471        347
X6749                 471        328
X6507                 471        299
X568                  471        293
X407                  471        281
X9895                 471        252
X9663                 470        346
X5116                 470        300
X4907                 470        289
X2953                 469        374
X5234                 469        340
X5817                 469        303
X8688                 469        299
X6622                 469        255
X9542                 469        198
X9278                 468        303
X8795                 468        270
X9279                 468        256
X754                  467        387
X3299                 467        379
X8982                 467        354
X2083                 467        332
X7734                 467        330
X4635                 467        282
X7869                 467        255
X3808                 467        223
X705                  467        191
X91                   466        398
X9519                 466        297
X952                  465        388
X6307                 465        376
X3706                 465        324
X4215                 465        229
X3975                 465        213
X6520                 465        200
X5753                 464        393
X786                  464        370
X7699                 464        365
X8324                 464        360
X5632                 464        260
X2230                 464        254
X4879                 463        369
X3630                 463        353
X3838                 463        316
X9765                 463        312
X33                   463        195
X1713                 462        208
X7297                 462        186
X4905                 461        358
X1224                 461        305
X2152                 461        247
X4876                 461        243
X3494                 461        214
X8533                 460        364
X4543                 460        360
X4678                 460        360
X9202                 460        312
X2613                 460        267
X4525                 460        260
X7475                 459        372
X1393                 459        370
X435                  459        356
X1688                 459        239
X4861                 459        231
X5908                 459        203
X1480                 458        368
X5988                 458        352
X2088                 458        335
X356                  458        298
X1553                 458        227
X6045                 458        183
X3330                 457        388
X2449                 457        337
X157                  457        316
X4997                 457        308
X5960                 457        305
X1965                 457        286
X2099                 457        277
X6872                 457        254
X8585                 457        242
X5295                 457        234
X5403                 457        223
X7047                 456        362
X6847                 456        348
X7820                 456        229
X9936                 456        223
X8177                 455        322
X8360                 455        258
X605                  455        215
X5914                 455        195
X2830                 454        343
X3084                 454        306
X5927                 454        246
X1799                 454        212
X1200                 453        292
X2001                 453        284
X8225                 453        256
X9756                 453        250
X8950                 453        226
X4946                 452        365
X6125                 452        298
X5120                 452        282
X2053                 452        277
X4038                 452        276
X4323                 452        267
X4576                 452        262
X6657                 452        208
X1023                 452        199
X5482                 452        197
X409                  452        181
X426                  451        339
X5974                 451        326
X1130                 451        292
X9155                 451        274
X2833                 451        217
X6075                 450        368
X1022                 450        305
X2973                 450        302
X7986                 450        262
X9243                 449        393
X8314                 449        373
X47                   449        366
X5731                 449        361
X7656                 449        356
X5816                 449        355
X5255                 449        315
X158                  449        308
X2204                 449        286
X625                  449        234
X3597                 449        206
X4453                 449        190
X3320                 449        181
X9312                 448        387
X2963                 448        374
X6273                 448        302
X7563                 448        230
X5888                 448        209
X9182                 447        343
X3198                 447        318
X119                  447        291
X6930                 447        280
X3901                 447        254
X8599                 446        375
X4510                 446        327
X9044                 446        275
X994                  445        336
X5889                 445        306
X826                  445        289
X5666                 445        281
X4476                 445        221
X3611                 444        392
X6479                 444        386
X7313                 444        375
X6724                 444        362
X6596                 444        351
X6665                 444        288
X4760                 444        277
X8331                 444        194
X1083                 444        183
X1576                 443        396
X6124                 443        384
X318                  443        359
X2148                 443        339
X9504                 443        305
X3028                 443        301
X802                  443        263
X6863                 443        194
X3153                 442        400
X8969                 442        358
X8456                 442        244
X3759                 442        242
X8326                 441        386
X6812                 441        355
X6641                 441        297
X3459                 441        216
X1777                 441        208
X1107                 441        180
X9082                 440        340
X7517                 440        321
X6786                 440        281
X484                  440        204
X6029                 439        314
X1016                 439        203
X3526                 438        342
X5642                 438        330
X236                  438        327
X5105                 438        281
X2193                 438        263
X6139                 438        221
X2285                 437        371
X5399                 437        338
X491                  437        274
X8967                 437        258
X3302                 437        257
X9831                 436        399
X8871                 436        384
X3331                 436        355
X5623                 436        313
X4444                 436        259
X5711                 436        240
X2532                 435        339
X6311                 435        267
X860                  435        202
X1645                 434        379
X5415                 434        328
X1467                 434        280
X8281                 434        201
X4082                 434        197
X5013                 433        399
X9810                 433        336
X8528                 433        264
X3950                 432        389
X1464                 432        330
X6425                 432        310
X5247                 432        246
X5074                 432        218
X1193                 432        216
X7701                 431        385
X896                  431        342
X1436                 431        333
X1658                 431        331
X4664                 431        296
X8697                 431        233
X2867                 430        361
X4208                 430        355
X2173                 430        354
X3495                 430        336
X537                  430        315
X1569                 430        307
X7611                 430        284
X1273                 430        257
X2679                 430        213
X6775                 430        192
X7943                 429        395
X2100                 429        393
X3329                 429        325
X7342                 429        299
X5649                 429        273
X6329                 429        255
X8502                 429        254
X1832                 429        214
X7675                 428        355
X7911                 428        249
X9352                 428        248
X1873                 428        203
X6791                 427        334
X9083                 427        330
X7443                 427        275
X3005                 427        248
X8327                 427        215
X3911                 427        186
X927                  426        398
X6896                 426        398
X9582                 426        356
X6927                 426        312
X5571                 426        224
X1039                 426        208
X3196                 426        207
X2217                 426        174
X4927                 425        330
X8378                 425        219
X528                  425        210
X9883                 425        196
X35                   425        182
X7780                 424        343
X175                  424        323
X7160                 424        252
X9945                 424        244
X4030                 424        242
X3068                 424        178
X8482                 424        170
X940                  423        384
X303                  423        313
X2603                 423        260
X3524                 423        219
X982                  423        177
X7509                 422        399
X6428                 422        339
X2967                 422        336
X7992                 422        326
X75                   422        311
X4822                 422        306
X2269                 422        242
X4619                 422        237
X2027                 422        225
X7355                 422        191
X9000                 421        358
X3051                 421        328
X66                   420        371
X2192                 420        345
X5609                 420        343
X7808                 420        276
X1236                 420        266
X2243                 420        260
X7936                 420        195
X7519                 420        178
X9338                 420        169
X2848                 419        400
X3791                 419        335
X6650                 419        267
X7790                 419        259
X9978                 418        329
X8261                 418        325
X1642                 418        287
X698                  418        241
X3458                 417        381
X8227                 417        321
X7377                 417        232
X7763                 417        199
X4777                 417        188
X6993                 416        360
X8350                 416        210
X471                  415        370
X3577                 415        347
X428                  415        343
X4497                 415        298
X3373                 415        278
X8120                 415        271
X7334                 415        266
X355                  415        250
X7346                 414        378
X6086                 414        368
X6341                 414        343
X6734                 414        324
X283                  414        281
X731                  414        255
X2740                 414        247
X8752                 413        390
X8874                 413        242
X6488                 413        174
X2749                 412        350
X364                  412        233
X1985                 412        230
X1407                 411        364
X9868                 411        360
X4622                 411        283
X4090                 411        261
X8106                 411        196
X3640                 411        192
X8501                 410        394
X2235                 410        201
X6017                 410        167
X7162                 409        275
X6088                 409        215
X375                  409        174
X312                  408        395
X5646                 408        395
X7490                 408        378
X8927                 408        317
X4311                 408        294
X9324                 408        288
X1329                 408        278
X127                  408        193
X8328                 408        180
X6877                 407        357
X4034                 407        336
X424                  407        264
X8592                 407        249
X5915                 407        241
X9244                 407        206
X4058                 407        191
X4322                 407        177
X684                  406        371
X5596                 406        344
X2653                 406        339
X1785                 406        331
X5373                 406        281
X3519                 406        244
X3047                 406        219
X5052                 405        310
X3204                 405        290
X6118                 405        283
X2640                 405        263
X2537                 405        221
X77                   405        208
X2817                 404        372
X2182                 404        354
X60                   404        313
X2559                 404        276
X8185                 404        239
X8483                 404        233
X1838                 404        218
X2932                 404        215
X9141                 404        169
X4123                 403        388
X3333                 403        376
X4691                 403        309
X3441                 403        264
X2017                 403        252
X5406                 403        227
X2639                 403        200
X1155                 403        164
X153                  402        362
X9032                 402        320
X678                  402        271
X8843                 402        252
X187                  402        216
X3210                 402        191
X5                    402        188
X3920                 402        183
X3555                 402        162
X9497                 401        395
X3672                 401        384
X105                  401        380
X2629                 401        330
X9907                 401        232
X6436                 401        226
X4783                 401        205
X9932                 401        200
X7556                 401        193
X6030                 401        167
X4426                 400        349
X7972                 400        279
X9778                 400        263
X8029                 400        226
X3012                 400        198
X6037                 400        179
X9996                 400        170
X3108                 400        169
X6010                 399        309
X1913                 399        303
X3895                 399        267
X5569                 399        263
X6342                 399        246
X6049                 399        189
X8311                 398        356
X1975                 398        309
X2009                 398        231
X6829                 398        222
X4684                 398        205
X1710                 398        177
X3530                 398        167
X3684                 398        162
X2242                 397        259
X482                  397        238
X3858                 397        199
X7824                 397        183
X4155                 397        160
X7798                 396        383
X8370                 396        308
X8994                 396        307
X704                  396        295
X6764                 396        269
X2569                 396        237
X8290                 396        236
X1620                 396        193
X490                  396        188
X9608                 395        392
X8385                 395        314
X7484                 395        250
X603                  395        238
X3396                 395        194
X3779                 394        365
X7726                 394        363
X485                  394        286
X7134                 394        253
X5560                 394        179
X9598                 394        179
X8586                 394        157
X7434                 393        388
X6858                 393        322
X8031                 393        301
X6677                 393        260
X744                  393        225
X8991                 393        169
X1708                 392        358
X8337                 392        262
X9524                 392        261
X6283                 392        238
X4278                 392        234
X5098                 392        213
X1147                 392        200
X1231                 392        173
X4520                 392        167
X2923                 391        353
X4437                 391        330
X5660                 391        324
X7953                 391        277
X9905                 391        196
X8480                 390        355
X9953                 390        344
X5572                 390        307
X6009                 390        274
X7267                 390        265
X4530                 390        212
X7596                 390        188
X4305                 389        360
X4325                 389        278
X8655                 389        237
X8996                 389        232
X3131                 389        198
X29                   388        385
X9975                 388        374
X2244                 388        373
X3491                 388        344
X2574                 388        340
X873                  388        320
X9578                 388        285
X7281                 388        248
X1679                 388        221
X4872                 388        206
X6207                 388        205
X353                  388        204
X40                   388        192
X3881                 388        177
X9625                 387        324
X5377                 387        319
X3772                 387        251
X5812                 387        249
X6818                 387        218
X2920                 386        391
X4232                 386        361
X2131                 386        217
X2905                 385        373
X8644                 385        353
X6633                 385        279
X1629                 385        238
X3830                 385        214
X440                  385        169
X4308                 384        397
X5500                 384        394
X6374                 384        318
X9253                 384        288
X7692                 384        278
X8896                 384        232
X3712                 384        226
X981                  384        208
X7437                 384        186
X6553                 384        169
X288                  384        164
X7705                 383        389
X1702                 383        288
X1661                 383        275
X5179                 383        265
X1750                 383        264
X3263                 383        240
X6112                 383        238
X6401                 383        231
X2666                 383        204
X950                  383        195
X9832                 383        177
X8121                 383        171
X4482                 382        384
X4466                 382        310
X8096                 382        305
X5933                 382        271
X8616                 382        226
X6915                 382        225
X7859                 382        213
X9277                 382        189
X1459                 382        183
X3811                 381        392
X5086                 381        361
X3501                 381        319
X3357                 381        197
X1522                 380        393
X9261                 380        382
X1060                 380        356
X5765                 380        336
X7266                 380        319
X6180                 380        291
X901                  380        217
X2111                 380        202
X2301                 380        202
X6485                 380        158
X1627                 379        387
X2266                 379        379
X4393                 379        371
X5807                 379        368
X7755                 379        360
X6639                 379        293
X5409                 378        381
X6338                 378        378
X5858                 378        306
X9086                 377        362
X2643                 377        352
X2113                 377        227
X955                  377        208
X7728                 377        182
X2807                 376        365
X8771                 376        362
X7731                 376        289
X6226                 376        268
X4284                 376        250
X1654                 376        206
X1062                 376        192
X5744                 376        150
X8164                 375        396
X6051                 375        395
X189                  375        372
X6022                 375        369
X5271                 375        274
X9066                 375        218
X8905                 375        190
X1568                 374        393
X9537                 374        366
X5227                 374        365
X8033                 374        340
X2340                 374        311
X1619                 374        271
X8911                 374        256
X2356                 374        227
X5842                 374        180
X7269                 374        161
X9638                 373        398
X7750                 373        388
X7404                 373        289
X1940                 373        260
X6314                 373        233
X5701                 373        206
X5899                 373        165
X5205                 372        303
X1847                 372        301
X576                  371        375
X5444                 371        371
X7127                 371        288
X5006                 371        203
X7585                 371        194
X5317                 371        187
X3255                 370        364
X1544                 370        344
X7497                 370        313
X5021                 370        222
X19                   370        204
X4539                 370        154
X4141                 369        393
X7594                 369        306
X4162                 369        261
X24                   369        196
X3948                 368        384
X8254                 368        341
X5306                 368        304
X857                  368        291
X3637                 368        191
X9495                 368        186
X4759                 368        182
X6384                 368        163
X7399                 368        160
X1145                 368        151
X4528                 367        395
X7096                 367        361
X9175                 367        322
X620                  367        259
X4666                 367        253
X4665                 367        221
X2466                 367        204
X9654                 367        174
X453                  366        320
X7011                 366        284
X3624                 366        226
X5128                 365        268
X1284                 365        190
X7815                 365        175
X9101                 364        393
X9959                 364        388
X1404                 364        312
X2952                 364        279
X129                  364        166
X1451                 364        153
X7561                 363        383
X4648                 363        353
X743                  363        312
X2219                 363        249
X6250                 363        184
X3700                 363        183
X192                  362        372
X4390                 362        341
X7220                 362        185
X9567                 361        397
X2504                 360        386
X474                  360        362
X6460                 360        353
X3804                 360        296
X9610                 360        200
X9286                 360        182
X7278                 360        146
X6821                 360        144
X7622                 359        386
X7923                 359        374
X1173                 359        342
X3376                 359        204
X8581                 358        382
X2689                 358        380
X9099                 358        234
X6517                 358        187
X5685                 357        371
X7880                 357        350
X4228                 357        312
X7394                 357        292
X1606                 357        288
X9455                 357        276
X1543                 357        246
X7169                 357        183
X2983                 357        142
X967                  356        377
X6588                 356        358
X6024                 356        352
X2229                 356        349
X6502                 356        345
X5536                 356        300
X5643                 356        295
X4826                 356        222
X1549                 356        197
X7605                 356        190
X9649                 356        168
X5441                 355        375
X5358                 355        354
X4680                 355        251
X5776                 355        220
X7478                 355        220
X2124                 354        383
X1651                 354        354
X5145                 354        311
X4429                 354        310
X7661                 354        298
X1942                 354        273
X3271                 354        262
X5372                 354        159
X3928                 353        366
X121                  353        278
X7496                 353        273
X2183                 353        262
X5603                 353        257
X6940                 353        243
X5682                 353        242
X5471                 353        238
X4957                 352        375
X3971                 352        317
X1121                 352        270
X5947                 352        253
X6263                 352        239
X5226                 352        208
X6373                 352        201
X5521                 351        352
X2054                 351        332
X7106                 351        326
X7147                 351        280
X3123                 351        251
X5394                 351        192
X5815                 351        168
X6109                 351        163
X4521                 351        143
X2463                 350        287
X1428                 350        278
X9328                 350        267
X1207                 350        240
X3016                 350        231
X6116                 349        391
X9217                 349        388
X8103                 349        371
X5147                 349        349
X6025                 349        241
X278                  349        238
X2118                 349        189
X2595                 349        188
X702                  349        187
X2512                 349        183
X3476                 349        168
X9125                 349        147
X7921                 349        141
X4160                 348        380
X9280                 348        359
X3314                 348        349
X2420                 348        342
X6274                 348        258
X2734                 348        224
X7847                 348        210
X3775                 348        173
X1203                 348        153
X8985                 347        386
X907                  347        305
X8090                 347        304
X6005                 347        276
X6939                 347        203
X667                  347        182
X6529                 346        349
X7459                 346        347
X1176                 346        295
X1515                 346        284
X7690                 346        281
X7782                 346        242
X2811                 346        232
X4346                 346        207
X5347                 346        151
X2407                 345        382
X1554                 345        380
X3156                 345        334
X7325                 345        308
X184                  345        272
X5919                 345        258
X3509                 345        186
X1583                 344        362
X2377                 344        349
X2680                 344        343
X9691                 344        291
X1312                 344        286
X8092                 344        278
X3607                 344        221
X2997                 344        220
X4020                 344        182
X1292                 344        173
X1242                 344        149
X3044                 343        364
X4743                 343        271
X2028                 343        269
X3236                 343        249
X1455                 343        236
X9893                 343        178
X1623                 343        173
X28                   343        170
X6389                 342        387
X7004                 342        381
X7236                 342        351
X4067                 342        315
X2768                 342        305
X5884                 342        218
X688                  342        182
X7219                 342        166
X7486                 342        158
X2935                 341        387
X4913                 341        317
X9880                 341        296
X2484                 341        276
X788                  341        258
X4535                 341        250
X2276                 341        221
X4196                 341        212
X6768                 341        207
X6888                 341        199
X3282                 341        165
X6412                 340        387
X869                  340        380
X6524                 340        330
X2695                 340        319
X5330                 340        289
X1532                 340        279
X9501                 340        271
X7225                 340        198
X1011                 340        187
X5838                 340        163
X5959                 340        142
X2571                 339        340
X4100                 339        236
X370                  339        229
X3582                 339        162
X1787                 338        356
X4434                 338        331
X1382                 338        293
X3691                 338        290
X8631                 338        280
X5848                 338        253
X7557                 338        243
X9981                 338        193
X4889                 338        175
X2844                 338        164
X8021                 338        164
X5831                 337        391
X9299                 337        364
X1969                 337        341
X2862                 337        308
X3955                 337        280
X5015                 337        250
X3214                 337        212
X7812                 337        207
X7461                 337        202
X261                  336        391
X2033                 336        349
X5320                 336        325
X8476                 336        267
X6229                 336        265
X1951                 336        244
X6457                 336        244
X8572                 336        198
X1146                 336        138
X7613                 335        397
X9372                 335        391
X8246                 335        361
X5768                 335        312
X1614                 335        213
X3581                 335        189
X4529                 334        381
X2725                 334        338
X6933                 334        322
X5613                 334        262
X757                  334        195
X9379                 334        150
X6947                 334        142
X4370                 334        137
X1736                 333        331
X7419                 333        265
X3666                 333        220
X1888                 333        193
X2754                 333        171
X4299                 332        349
X8282                 332        332
X5064                 332        322
X3774                 332        318
X5062                 332        299
X6586                 332        271
X4260                 332        239
X8920                 332        231
X9429                 332        188
X410                  332        172
X8852                 332        161
X2233                 331        358
X9196                 331        305
X3467                 331        242
X7819                 331        233
X1438                 331        207
X9376                 331        186
X2565                 331        178
X2599                 330        372
X7858                 330        350
X2341                 330        310
X4250                 330        301
X5143                 330        277
X8797                 330        243
X1222                 330        231
X7074                 330        153
X9418                 330        132
X3466                 329        356
X3969                 329        321
X9614                 329        301
X9956                 329        288
X5890                 329        281
X4367                 329        251
X2938                 329        233
X328                  329        231
X1564                 329        228
X3439                 329        178
X6729                 329        158
X4690                 329        155
X7875                 328        323
X3457                 328        187
X3662                 327        250
X2198                 327        239
X302                  327        163
X5602                 326        390
X1956                 326        353
X6802                 326        315
X8545                 326        186
X6860                 326        185
X6525                 326        174
X5840                 325        319
X768                  325        305
X1340                 325        272
X9775                 325        254
X220                  325        190
X421                  325        134
X657                  324        361
X5583                 324        249
X9156                 324        213
X363                  323        376
X5359                 323        373
X4863                 323        311
X3796                 323        292
X4157                 323        284
X5523                 323        249
X8258                 323        228
X3326                 323        134
X8141                 322        383
X3876                 322        318
X5981                 322        301
X4011                 322        238
X4993                 322        210
X5022                 322        187
X1899                 321        316
X1205                 321        294
X4638                 321        275
X9891                 321        210
X6286                 321        208
X7024                 320        384
X7989                 320        300
X2540                 320        253
X3559                 320        253
X8816                 320        238
X2776                 320        225
X197                  320        170
X4474                 320        169
X7468                 320        158
X2313                 320        134
X2240                 319        359
X9291                 319        334
X4587                 319        300
X9120                 319        279
X6563                 318        393
X9359                 318        377
X3174                 318        310
X5806                 318        307
X3711                 318        284
X7868                 318        283
X9684                 318        276
X2043                 318        259
X996                  318        213
X5091                 318        188
X2550                 318        150
X7793                 317        395
X3918                 317        370
X7464                 317        359
X6378                 317        342
X4166                 317        314
X1403                 317        254
X8098                 317        239
X2102                 317        216
X4213                 317        213
X1482                 316        356
X2181                 316        314
X7143                 316        313
X5665                 316        304
X2692                 316        269
X721                  316        235
X9347                 316        190
X5026                 316        144
X2837                 316        131
X4313                 315        381
X7333                 315        325
X7031                 315        254
X5284                 315        237
X1904                 315        213
X1234                 315        180
X2261                 315        175
X7253                 315        167
X447                  314        374
X9222                 314        348
X5493                 314        339
X1857                 314        318
X5942                 314        283
